comuna,año,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
Alhué,2015,1,2,4,1,1,5,1,1,2,5,1,2
Buin,2015,34,29,36,30,42,43,33,38,52,44,23,33
Calera de Tango,2015,6,7,11,10,10,6,20,8,9,8,7,9
Cerrillos,2015,36,30,33,40,39,46,25,46,34,37,27,40
Cerro Navia,2015,74,53,71,60,79,102,73,87,81,81,59,63
Colina,2015,38,26,41,43,28,46,44,50,36,37,37,24
Conchalí,2015,85,68,82,76,91,97,90,101,91,75,79,74
Curacaví,2015,12,8,18,11,15,19,11,15,13,22,16,8
El Bosque,2015,87,71,67,75,80,99,99,101,92,98,84,94
El Monte,2015,14,15,11,20,15,15,18,16,14,16,16,16
Estación Central,2015,85,55,68,52,85,77,87,99,84,78,75,88
Huechuraba,2015,26,29,38,28,34,36,50,43,50,33,38,36
Independencia,2015,72,70,61,58,79,88,89,81,72,88,76,70
Isla de Maipo,2015,13,20,15,18,9,18,12,14,10,15,13,11
La Cisterna,2015,64,50,58,57,76,71,67,65,68,61,57,59
La Florida,2015,170,146,127,139,207,170,187,182,193,192,159,146
La Granja,2015,72,48,72,74,69,63,72,79,65,60,61,70
La Pintana,2015,74,70,71,66,74,92,101,97,81,71,81,80
La Reina,2015,49,46,42,46,59,70,62,62,42,41,52,40
Lampa,2015,25,23,27,30,19,25,28,32,30,27,24,23
Las Condes,2015,141,133,121,145,153,161,154,164,158,156,124,155
Lo Barnechea,2015,26,17,26,30,27,28,33,38,23,26,27,31
Lo Espejo,2015,62,65,58,52,66,67,90,61,75,61,57,50
Lo Prado,2015,45,41,49,34,47,62,55,71,48,58,43,50
Macul,2015,63,51,54,58,73,52,74,70,51,71,47,46
Maipú,2015,165,156,176,162,194,198,227,197,230,184,202,204
María Pinto,2015,7,9,5,4,6,2,6,10,7,5,5,9
Melipilla,2015,50,48,60,58,66,75,76,78,68,47,56,60
Ñuñoa,2015,99,98,92,106,131,123,155,152,126,121,102,117
Padre Hurtado,2015,21,18,19,22,32,26,24,43,25,22,27,17
Paine,2015,25,30,23,31,25,31,36,26,24,28,23,32
Pedro Aguirre Cerda,2015,69,59,71,69,71,72,77,81,71,72,65,76
Peñaflor,2015,36,33,42,32,39,47,53,43,39,36,39,41
Peñalolén,2015,89,105,83,81,102,126,131,123,117,126,87,90
Pirque,2015,15,4,6,8,6,14,10,5,8,8,10,8
Providencia,2015,78,87,89,83,93,102,108,120,85,94,81,68
Pudahuel,2015,83,64,56,83,86,92,91,93,89,89,86,92
Puente Alto,2015,171,158,193,175,236,222,244,248,212,213,184,204
Quilicura,2015,57,54,48,55,45,61,50,51,63,54,55,61
Quinta Normal,2015,76,56,79,73,73,94,82,78,79,72,75,61
Recoleta,2015,85,70,85,93,101,100,136,110,105,103,70,78
Renca,2015,55,47,59,56,74,57,97,78,66,58,58,56
San Bernardo,2015,113,104,114,128,145,127,156,142,120,136,135,114
San Joaquín,2015,62,58,72,54,63,72,72,79,61,59,53,65
San José de Maipo,2015,4,5,8,12,12,13,12,10,10,16,8,10
San Miguel,2015,77,67,66,60,81,71,88,76,69,67,65,63
San Pedro,2015,8,6,6,3,4,4,5,6,9,3,4,4
San Ramón,2015,52,46,55,43,55,46,63,78,49,51,57,45
Santiago,2015,95,102,97,93,134,147,155,162,109,151,130,104
Talagante,2015,26,33,30,24,36,28,28,40,33,37,29,32
Tiltil,2015,3,6,3,7,10,9,12,9,9,9,13,7
Vitacura,2015,43,28,42,41,38,37,39,44,35,33,45,43
